Nome,Fifa_id,Cazzo_id
Ugur Inceman,48738,2973
Diego Mainz,135819,2752
Ruben Perez,190156,2805
Pablo Hernandez Dominguez,179591,2802
Jorge Molina,154472,2983
Yann Jouffre,137960,5610
Tom van Hyfte,163244,7604
Robbie Haemhouts,134968,10880
Mile Jedinak,181483,8985
Diederik Boer,9833,5710
Konstantin Engel,183559,11242
Jean-Louis Leca,153275,11316
Benoit Costil,158121,11319
Reynald Lemaitre,142313,11329
Nicolas Seube,50908,11324
Antonio Candreva,173221,11685
Orestis Karnezis,183497,13033
Adam Nemec,184433,12245
Peter Pekarik,190854,12330
Nikica Jelavic,219261,8922
Marcin Wasilewski,148569,13423
Jose Dorado,110019,2768
Lukasz Piszczek,173771,13518
Edin Dzeko,180930,15403
Dusan Veskovac,186538,16254
Ivan Radovanovic,186589,15732
Gojko Kacar,186687,16300
Pavle Ninkov,190450,16493
Robert Braber,164579,17848
Carlos Carmona Bonet,168379,17299
Aleksandar Kolarov,185103,16351
Edouard Duplan,164986,17855
Mauro Zarate,153177,18506
Marcos Angeleri,162951,18520
Gustavo Cabral,165536,18673
David Abraham,160741,18904
Matias Silvestre,159028,18823
Ezequiel Lavezzi,159065,18925
Santiago Gentiletti,205408,18945
Neymar,190871,19533
Danilo Larangeira,166072,19249
Mike Havenaar,207739,20645
Thiago Xavier,159168,19297
Shinji Okazaki,194365,20694
Oscar Trejo,173030,21414
Nikola Kalinic,185431,21613
Hernanes,180432,21446
Jop van der Linden,193157,21765
Nicolas Federico Spolli,171830,18880
Fabrizio Cacciatore,188334,22283
Lee Tomlin,172904,22045
Radamel Falcao,167397,22543
Leandro Castan,172610,22337
Martin Skrtel,166706,22764
Dusan Svento,181274,22824
Ben Watson,160292,22991
Joe Ledley,165190,22929
Julian Speroni,49212,22998
Billy Jones,138722,22964
Boaz Myhill,51261,23021
Glenn Whelan,163303,23253
Damien Delaney,159577,23030
Phil Jagielka,53914,23268
Chris Brunt,52306,23257
Gabriel Agbonlahor,164469,23264
Shane Long,169216,23293
Nathan Dyer,173436,23305
Ashley Young,152908,23354
Adrian Mariappa,172953,23358
Matt Jarvis,163571,23538
Wes Morgan,136113,23571
Andrew Surman,172768,23629
Mathieu Flamini,156722,23688
Gareth Barry,6826,23782
Steven Davis,151508,23792
Leon Britton,140415,23882
Kevin Nolan,51394,23933
Gary Cahill,164468,23783
Scott Dann,157665,23837
Lassana Diarra,163711,23988
Scott Sinclair,169214,23991
Leon Osman,158804,24006
Jaroslav Drobny,150278,24104
Tony Hibbert,50620,24023
Darren Fletcher,138782,24148
Jonathan De Guzman,177569,24123
Ben Foster,163155,24147
John O'Shea,3484,24150
Fraizer Campbell,169586,24157
James Morrison,162981,24171
Stephen Ireland,170570,24213
Micah Richards,169721,24208
Darron Gibson,169590,24156
Shay Given,2651,24224
Sylvain Distin,26992,24216
Steven Taylor,159034,24228
Tim Krul,170597,24229
Leonardo Bonucci,184344,24235
Sergio Pellissier,149571,24448
Andrea Raggi,163407,24493
Marc Pugh,166838,24381
Gary O'Neil,53593,24393
Davide Brivio,106874,24500
Alessandro Gamberini,5213,24504
Riccardo Montolivo,159287,24507
Manuel Pasqual,154634,24536
Giampaolo Pazzini,137361,24549
Mark Bunn,162054,24579
Bradley Johnson,152536,24583
Tommy Elphick,180635,24625
Lazaros Christodoulopoulos,178115,24789
Daniele Gastaldello,137410,24793
Cristian Molinaro,149064,24791
Leighton Baines,163631,24846
Ashley Williams,163824,24948
Ikechi Anya,169100,24915
Russell Martin,162886,24903
Cristian Zapata,177983,24970
Craig Gardner,178487,25075
Lee Cattermole,169607,25150
Jesper Hansen,132740,25329
Claudio Pizarro,25420,25366
Dimitri Payet,177388,25496
Christian Schulz,121185,25483
Andrea Ranocchia,182168,25526
Vincent Enyeama,139968,25540
Marouane Chamakh,134906,25537
Peter Odemwingie,137671,25550
Goran Pandev,137506,25597
Lorenzo De Silvestri,170320,25587
Bartholomew Ogbeche,49486,25551
Martin Olsson,184472,25667
Juan Pablo Carrizo,167666,25735
Victor Anichebe,169527,25666
Gonzalo Higuain,167664,25759
Victor Casadesus,161832,25462
Ivan Rakitic,168651,25773
Zdravko Kuzmanovic,168650,25772
Almen Abdi,138698,25816
Gokhan Inler,158810,25818
Kader Mangane,47860,25856
Carlos Kameni,111661,25563
Kenneth Vermeer,169181,26002
Thomas Vermaelen,157304,26005
Renaud Cohade,112365,26051
Bacary Sagna,163419,26111
Younes Kaboul,163418,26108
Franck Beria,112230,26107
Lionel Mathis,41634,26114
Florian Marange,165237,26118
Yohann Pele,107298,26126
Jussie,152840,26144
Mathieu Debuchy,158626,26154
Seydou Keita,12259,26146
Kevin Mirallas,172175,26151
Mathieu Bodmer,51123,26155
Yohan Cabaye,167943,26160
Francois Clerc,161700,26162
Hatem Ben Arfa,161648,26163
Karim Benzema,165153,26166
Remy Vercoutre,5594,26167
Cedric Carrasso,116494,26168
Lorik Cana,134956,26171
Samir Nasri,165239,26181
Sebastien Bassong,172949,26209
Serge Gakpe,169281,26221
Bostjan Cesar,139274,26223
Emir Spahic,141200,26255
Jonathan Brison,150568,26236
Lars Jacobsen,24717,26256
Hugo Lloris,167948,26295
Franck Signorino,138065,26264
Etienne Didot,49488,26326
Arnold Mvuemba,153298,26324
Florent Balmont,52126,26291
Gregory Bourillon,134777,26327
Jimmy Briand,134779,26330
Bafetimbi Gomis,159145,26344
Loic Perrin,159147,26353
Simon Pouplin,153297,26335
Mouhamadou Dabo,168630,26354
Mevlut Erdinc,176481,26374
Kevin Gameiro,176600,26392
Mohamed Fofana,173033,26402
Daniel Congre,163665,26399
Jeremy Mathieu,112316,26403
Pantxi Sirieix,116479,26406
Ibrahim Afellay,158372,26434
Benjamin Nivet,3665,26420
Blaise Matuidi,170890,26419
Mark-Jan Fledderus,139871,26455
Stijn Schaars,137109,26453
Rasmus Lindgren,157305,26459
Arnold Kruiswijk,137510,26458
Edson Braafheid,156655,26489
Henrico Drost,162365,26476
