ID_P,Squadra_C,Squadra_T,Giocatore_C_1,Giocatore_C_2,Giocatore_C_3,Giocatore_C_4,Giocatore_C_5,Giocatore_C_6,Giocatore_C_7,Giocatore_C_8,Giocatore_C_9,Giocatore_C_10,Giocatore_C_11,Giocatore_T_1,Giocatore_T_2,Giocatore_T_3,Giocatore_T_4,Giocatore_T_5,Giocatore_T_6,Giocatore_T_7,Giocatore_T_8,Giocatore_T_9,Giocatore_T_10,Giocatore_T_11,Giocatore_C_X1,Giocatore_C_X2,Giocatore_C_X3,Giocatore_C_X4,Giocatore_C_X5,Giocatore_C_X6,Giocatore_C_X7,Giocatore_C_X8,Giocatore_C_X9,Giocatore_C_X10,Giocatore_C_X11,Giocatore_T_X1,Giocatore_T_X2,Giocatore_T_X3,Giocatore_T_X4,Giocatore_T_X5,Giocatore_T_X6,Giocatore_T_X7,Giocatore_T_X8,Giocatore_T_X9,Giocatore_T_X10,Giocatore_T_X11,Giocatore_C_Y1,Giocatore_C_Y2,Giocatore_C_Y3,Giocatore_C_Y4,Giocatore_C_Y5,Giocatore_C_Y6,Giocatore_C_Y7,Giocatore_C_Y8,Giocatore_C_Y9,Giocatore_C_Y10,Giocatore_C_Y11,Giocatore_T_Y1,Giocatore_T_Y2,Giocatore_T_Y3,Giocatore_T_Y4,Giocatore_T_Y5,Giocatore_T_Y6,Giocatore_T_Y7,Giocatore_T_Y8,Giocatore_T_Y9,Giocatore_T_Y10,Giocatore_T_Y11
1983272,10228,8526,183567,204332,226853,215650,205926,172141,229158,201965,202200,200235,209782,228860,205046,208462,229213,200083,218054,207832,207464,229212,201405,229211,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,7,10,10
1983273,6413,7788,47020,209371,183736,208018,209378,200424,221521,223790,209503,208781,208153,199172,194913,202540,205672,200499,215701,184637,204370,209662,49486,200422,5,2,4,6,8,4,6,3,7,5,5,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10
1983274,9803,9791,204367,215618,205190,178140,183933,169479,230036,229104,163244,186887,204394,109493,215592,200425,136839,139871,202050,209701,220118,212538,223689,205557,5,2,4,6,8,5,4,6,5,4,6,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,7,7,9,11,11,1,3,3,3,3,7,7,7,10,10,10
1983275,10217,8640,184040,210205,163907,189899,188621,164626,200231,212485,148854,210213,164986,190778,204259,195363,198868,209818,193158,171897,200223,192362,189805,192537,5,2,6,4,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983276,10235,9908,169181,222558,213000,203485,199566,162329,189715,198006,15723,166114,209769,189936,219814,198147,209839,178187,223070,204102,227633,158800,183519,205693,5,2,4,6,8,3,5,7,3,5,7,5,1,3,5,7,9,3,5,7,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,3,7,7,7,10,10
1983277,10229,8593,223690,189300,202201,193157,210384,190549,198129,209316,210010,226537,229149,199987,216266,208004,221269,208459,212269,203483,193198,216433,205175,216380,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983278,8464,10218,206379,200158,205202,187620,176018,219979,193169,200374,193169,201938,202458,193302,215528,184657,183479,217585,156653,193669,185171,228666,223730,201302,5,2,4,6,8,3,5,7,5,7,3,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983279,8674,8611,192358,220093,203888,157305,202153,186453,207559,201450,210423,199386,204136,200698,226436,200818,206433,177543,208670,220673,199169,203796,228241,197932,5,2,4,6,8,4,6,3,5,7,5,5,2,4,6,8,5,7,4,6,3,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,8,8,6,6,8,11
1983280,8525,8277,199568,162343,188424,169158,204386,188416,189713,184242,203763,212210,203799,189084,224841,192904,193561,209377,205401,211504,222994,213490,229167,200644,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983281,8277,9803,189084,224841,192904,193561,209377,222994,211504,205401,213490,187175,229167,204367,215618,205190,178140,183933,169479,230036,229104,163244,186887,204394,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,5,4,6,5,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,7,7,9,11,11
1983282,8526,6413,228860,205046,208462,\N,200083,218054,198144,207464,229212,201405,229211,47020,209371,198177,208018,209378,221521,200424,223790,208781,209503,208153,5,2,4,6,8,2,4,6,8,4,6,5,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,6,6,8,8,8,11
1983283,8593,8525,199987,216266,208004,221269,208459,212269,203483,193198,216433,205175,216380,199568,162343,188424,169158,204386,184242,189713,188416,203763,212210,203799,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983284,8611,10217,200698,226436,200818,206433,177543,228241,203796,199169,220673,208670,218363,184040,210205,189899,163907,188621,200231,164626,212485,148854,207739,164986,5,2,4,6,8,2,4,6,8,4,6,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10
1983285,10218,10229,193302,215528,184657,183479,217585,193669,156653,185171,228666,223730,201302,223690,189300,202201,193157,210384,193346,190549,198129,209316,224243,226537,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983286,8640,8674,190778,204259,198868,195363,209818,193158,171897,200223,192362,189805,192537,192358,220093,202540,200105,203845,207559,186453,210423,201450,204136,199386,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983287,7788,10235,199172,194913,223687,200122,200499,204370,184637,215701,200422,49486,209662,169181,222558,213000,186456,203485,198006,189715,162329,15723,166114,209769,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983288,9908,10228,189936,219814,198147,209839,178187,223070,158800,204102,227633,205693,183519,183567,204332,226853,215650,205926,201965,172141,229158,202200,200235,209782,5,1,3,5,7,9,3,5,7,4,6,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,3,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10
1983289,9791,8464,109493,215592,200425,136839,139871,202050,209701,220118,208045,223689,205557,206379,200158,187620,205202,176018,219979,193169,200374,202458,\N,201938,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983290,8674,10218,192358,220093,202540,200105,203845,207559,202459,186453,199386,204136,210423,193302,215528,184657,183479,217585,156653,185171,193669,207872,223730,201302,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983291,9803,8526,204367,205190,178140,151891,215618,169479,230036,229104,163244,186887,204394,228860,228870,208462,229213,205046,229212,218054,198144,209859,229211,201405,5,4,6,8,2,5,4,6,5,4,6,5,2,4,6,8,5,4,6,5,4,6,1,3,3,3,3,6,7,7,9,11,11,1,3,3,3,3,6,7,7,9,11,11
1983292,10228,8640,183567,204332,226853,215650,205926,229158,172141,201965,202200,200235,209782,190778,204259,195363,198868,209818,193158,171897,200223,192362,189805,192537,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983293,8464,8593,206379,176018,187620,205202,204847,200158,219979,193169,224187,204486,202458,199987,200111,208004,221269,208459,212269,203483,193198,216433,205175,172143,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983294,7788,9791,199172,223687,200122,209401,187514,215701,184637,204370,188185,49486,209662,109493,215592,200425,136839,139871,209701,202050,220118,208045,223689,205557,5,4,8,2,6,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983295,6413,8611,47020,209371,183736,208018,209378,200424,221521,223790,208781,209503,208153,200698,226436,200818,218047,177543,199169,208670,203796,193165,218363,230557,5,2,4,6,8,4,6,3,5,7,5,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10
1983296,10229,8525,223690,189300,202201,193157,210384,209316,190549,224243,210010,226537,209529,199568,162343,188424,169158,204386,184242,189713,188416,212210,203763,162335,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,5,7,3,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983297,10217,9908,184040,210205,189899,177571,188621,200231,164626,212485,148854,207739,164986,189936,219814,198147,209839,178187,223070,158800,227633,204102,183519,205693,5,2,4,6,8,3,5,7,3,5,7,5,1,3,5,7,9,3,5,7,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,3,7,7,7,10,10
1983298,10235,8277,169181,222558,213000,186456,203485,188157,189715,162329,15723,166114,209769,189084,224841,192904,137510,209377,222994,211504,205401,213490,187175,229167,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983299,8525,8464,199568,162343,188424,169158,204386,184242,189713,188416,162335,164579,203763,206379,204847,187620,205202,176018,202458,219979,194669,224187,193169,204510,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,7,5,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983300,9908,8674,189936,209839,228644,198147,219814,227633,204102,158800,223070,183519,205693,192358,220093,200105,202540,203845,207559,202459,186453,201450,204136,199386,5,3,5,7,1,3,5,7,9,4,6,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,7,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10
1983301,10228,6413,183567,204332,226853,215650,205926,229158,222475,201965,202200,200235,209782,47020,209371,183736,208018,209378,221521,209399,223790,208781,209503,208153,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,6,8,8,8,11
1983302,10218,8526,193302,215528,184657,203875,217585,156653,193669,185171,207872,223730,201302,228860,205046,208462,229213,204878,229212,218054,170635,198144,216823,201405,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,5,4,6,5,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,7,7,9,11,11
1983303,9791,8611,109493,215592,200425,136839,139871,209701,202050,220118,208045,223689,205557,200698,226436,200818,206433,229969,199169,208670,203796,193165,218363,177106,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983304,8593,10217,199987,216266,208004,221269,208459,212269,203483,193198,216433,205175,216380,184040,210205,204476,189899,188621,200231,164626,212485,148854,207739,164986,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983305,10229,9803,223690,224242,202201,193157,209316,200424,190549,210384,193346,225152,224243,204367,215618,205190,178140,183933,230036,169479,163244,229104,208878,204394,5,3,5,7,2,4,6,8,3,5,7,5,2,4,6,8,2,4,6,8,4,6,1,3,3,3,7,7,7,7,10,10,10,1,3,3,3,3,7,7,7,7,10,10
1983306,8277,7788,189084,224841,192904,137510,209377,222994,211504,205401,229167,187175,222060,199172,223566,205672,200122,223687,204370,184637,215701,188185,49486,200422,5,2,4,6,8,3,5,7,3,5,7,5,4,6,8,2,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983307,8640,10235,190778,204259,195363,198868,209818,193158,171897,200223,192362,189805,192537,169181,213000,203888,186456,203485,188157,189715,162329,209769,166114,15723,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983308,8526,10229,228860,204878,229213,200083,208462,229212,218054,170635,198144,201405,218062,223690,189300,202201,193157,230037,200424,190549,210010,193346,226537,215871,5,4,6,2,8,5,4,6,5,4,6,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,7,7,9,11,11,1,3,3,3,3,7,7,7,10,10,10
1983309,9803,8464,204367,215618,205190,178140,183933,169479,230036,229104,163244,208878,204394,206379,204847,187620,205202,211195,200374,194669,219979,202458,193169,201938,5,2,4,6,8,5,4,6,5,4,6,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,7,7,9,11,11,1,3,3,3,3,7,7,7,10,10,10
1983310,8611,8593,228279,226436,220673,218047,177543,199169,208670,203796,177106,218363,199639,199987,216266,208004,193440,221269,212269,203483,193198,216433,205175,216380,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983311,7788,8640,205572,209401,223687,187514,200499,212235,184637,204370,188185,49486,209662,190778,204259,195363,173432,209818,193158,212755,171897,192362,189805,192537,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983312,6413,10218,47020,209371,183736,208018,209378,221521,223790,208781,220763,203399,208153,193302,215528,184657,203875,217585,193669,156653,185171,228666,223730,204840,5,2,4,6,8,4,3,5,7,6,5,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,8,8,8,6,11,1,3,3,3,3,7,7,7,10,10,10
1983313,8674,10228,192358,220093,200105,157305,202153,168584,207559,199386,204136,210423,190497,183567,204332,205926,226853,215650,201965,172141,229158,202200,\N,209782,5,2,4,6,8,4,6,3,5,7,5,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10
1983314,10235,8525,169181,222558,213000,186456,203485,198006,189715,162329,209769,184614,15723,199568,162343,188424,169158,204386,188416,189713,184242,203763,212210,162335,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983315,10217,9791,184040,224213,189899,163907,188621,210205,164986,212485,148854,207739,210213,109493,215592,200425,136839,139871,202050,209701,220118,208045,223689,205557,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983316,9908,8277,189936,219814,228644,198147,209839,223070,227633,158800,204102,183519,205693,189084,224841,192904,137510,205401,222994,211504,200644,229167,187175,222060,5,1,7,3,5,9,7,3,5,4,6,5,3,5,7,2,4,6,8,3,5,7,1,3,3,3,3,3,7,7,7,10,10,1,3,3,3,7,7,7,7,10,10,10
1983317,8464,10228,206379,204847,187620,205202,211195,200374,194669,219979,202458,193169,201938,183567,204332,226853,215650,205926,172141,229158,201965,202200,\N,209782,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983318,7788,8611,205572,209401,223566,200122,200499,215609,184637,218744,188185,221839,209662,228279,226436,200818,218047,177543,199169,208670,203796,177106,218363,199639,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983319,6413,10217,47020,209371,183736,208018,209378,221521,203399,223790,220763,209503,208153,184040,224213,189899,163907,188621,210205,200231,212485,148854,207739,164986,5,2,4,6,8,4,6,3,5,7,5,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10
1983320,9791,8640,109493,215592,200425,136839,139871,202050,209701,220118,208045,223689,205557,190778,204259,195363,173432,209818,193158,212755,200223,192362,189805,192537,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10
1983321,8525,9908,199568,162343,188424,169158,204386,184242,134968,188416,162335,189713,203903,189936,219814,198147,209839,228644,223070,158800,204102,227633,183519,205693,5,2,4,6,8,3,5,7,3,5,7,5,1,3,5,7,9,3,5,7,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,3,7,7,7,10,10
1983322,9803,10235,204367,215618,205190,178140,183933,169479,230036,229104,163244,198726,204394,169181,222558,213000,186456,203485,198006,189715,162329,15723,184614,172049,5,2,4,6,8,5,4,6,5,4,6,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,7,7,9,11,11,1,3,3,3,3,7,7,7,10,10,10
1983323,10218,8593,193302,215528,203875,217585,183479,204840,156653,208602,185171,193669,201302,199987,216266,208004,221269,208459,212269,203483,193198,216433,205175,203965,5,2,4,8,6,2,4,6,8,5,5,5,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,7,7,7,10,10,10
1983324,8277,8526,189084,224841,192904,137510,209377,217526,211504,205401,229167,225539,222060,228860,200083,208462,229213,204878,229212,218054,229215,198144,218062,201405,5,2,4,6,8,3,5,7,3,5,7,5,2,4,6,8,5,4,6,5,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,6,7,7,9,11,11
