ID_P,Data,Settimana,Squadra_C,Squadra_T,Possesso_C,Possesso_T
1983272,2015-08-11,1,10228,8526,44,56
1983273,2015-08-12,1,6413,7788,30,70
1983274,2015-08-08,1,9803,9791,38,62
1983275,2015-08-11,1,10217,8640,45,55
1983276,2015-08-08,1,10235,9908,53,47
1983277,2015-08-09,1,10229,8593,43,57
1983278,2015-08-12,1,8464,10218,54,46
1983279,2015-08-12,1,8674,8611,63,37
1983280,2015-08-09,1,8525,8277,51,49
1983281,2015-08-14,2,8277,9803,70,30
1983282,2015-08-15,2,8526,6413,64,36
1983283,2015-08-15,2,8593,8525,52,48
1983284,2015-08-15,2,8611,10217,52,48
1983285,2015-08-15,2,10218,10229,55,45
1983286,2015-08-16,2,8640,8674,54,46
1983287,2015-08-16,2,7788,10235,52,48
1983288,2015-08-16,2,9908,10228,40,60
1983289,2015-08-16,2,9791,8464,55,45
1983290,2015-08-21,3,8674,10218,63,37
1983291,2015-08-22,3,9803,8526,47,53
1983292,2015-08-22,3,10228,8640,45,55
1983293,2015-08-23,3,8464,8593,46,54
1983294,2015-08-22,3,7788,9791,59,41
1983295,2015-08-23,3,6413,8611,47,53
1983296,2015-08-23,3,10229,8525,48,52
1983297,2015-08-23,3,10217,9908,38,62
1983298,2015-08-23,3,10235,8277,52,48
1983299,2015-08-28,4,8525,8464,63,37
1983300,2015-08-29,4,9908,8674,54,46
1983301,2015-08-29,4,10228,6413,57,43
1983302,2015-08-29,4,10218,8526,52,48
1983303,2015-08-29,4,9791,8611,51,49
1983304,2015-08-30,4,8593,10217,56,44
1983305,2015-08-30,4,10229,9803,44,56
1983306,2015-08-30,4,8277,7788,40,60
1983307,2015-08-30,4,8640,10235,49,51
1983308,2015-09-12,5,8526,10229,38,62
1983309,2015-09-12,5,9803,8464,43,57
1983310,2015-09-12,5,8611,8593,42,58
1983311,2015-09-12,5,7788,8640,40,60
1983312,2015-09-12,5,6413,10218,54,46
1983313,2015-09-13,5,8674,10228,52,48
1983314,2015-09-13,5,10235,8525,61,39
1983315,2015-09-13,5,10217,9791,44,56
1983316,2015-09-13,5,9908,8277,33,67
1983317,2015-09-18,6,8464,10228,34,66
1983318,2015-09-19,6,7788,8611,53,47
1983319,2015-09-19,6,6413,10217,30,70
1983320,2015-09-19,6,9791,8640,63,37
1983321,2015-09-19,6,8525,9908,55,45
1983322,2015-09-20,6,9803,10235,54,46
1983323,2015-09-20,6,10218,8593,34,66
1983324,2015-09-20,6,8277,8526,65,35
1983325,2015-09-20,6,8674,10229,52,48
1983326,2015-09-26,7,10228,8277,44,56
1983327,2015-09-26,7,9908,7788,48,52
1983328,2015-09-26,7,8593,8674,56,44
1983329,2015-09-26,7,10229,9791,45,55
1983330,2015-09-26,7,8640,8464,54,46
1983331,2015-09-27,7,8526,8525,30,70
1983332,2015-09-27,7,10235,6413,56,44
1983333,2015-09-27,7,10217,10218,60,40
1983334,2015-09-27,7,8611,9803,62,38
1983335,2015-10-02,8,9791,10228,53,47
1983336,2015-10-03,8,8464,10217,53,47
1983337,2015-10-03,8,9803,7788,53,47
1983338,2015-10-03,8,8525,6413,55,45
1983339,2015-10-03,8,10218,9908,41,59
1983340,2015-10-04,8,8526,10235,39,61
1983341,2015-10-04,8,8593,8640,45,55
1983342,2015-10-04,8,8277,8674,51,49
1983343,2015-10-04,8,10229,8611,43,57
1983344,2015-10-17,9,7788,10229,66,34
1983345,2015-10-17,9,8674,8525,58,42
1983346,2015-10-17,9,9791,8593,48,52
1983347,2015-10-17,9,9908,9803,64,36
1983348,2015-10-17,9,8640,10218,64,36
1983349,2015-10-18,9,8611,8464,52,48
1983350,2015-10-18,9,10228,10235,49,51
1983351,2015-10-18,9,10217,8526,53,47
1983352,2015-10-18,9,6413,8277,48,52
1983353,2015-10-23,10,6413,9908,61,39
1983354,2015-10-24,10,8525,10228,67,33
1983355,2015-10-24,10,8526,9791,32,68
1983356,2015-10-24,10,8611,8640,30,70
1983357,2015-10-24,10,9803,10218,55,45
1983358,2015-10-25,10,7788,10217,50,50
1983359,2015-10-25,10,8277,8593,52,48
1983360,2015-10-25,10,8464,8674,68,32
1983361,2015-10-25,10,10235,10229,66,34
1983362,2015-10-30,11,9791,8525,42,58
1983363,2015-10-31,11,8674,6413,48,52
1983364,2015-10-31,11,8593,9803,57,43
1983365,2015-10-31,11,10218,8277,29,71
1983366,2015-10-31,11,8526,8640,29,71
1983367,2015-11-01,11,10217,10235,38,62
1983368,2015-11-01,11,10228,7788,47,53
1983369,2015-11-01,11,9908,8611,56,44
1983370,2015-11-01,11,10229,8464,56,44
1983371,2015-11-06,12,9803,10217,45,55
1983372,2015-11-07,12,8611,10228,63,37
1983373,2015-11-07,12,8464,8526,63,37
1983374,2015-11-07,12,8525,10218,64,36
1983375,2015-11-07,12,6413,9791,58,42
1983376,2015-11-08,12,8640,9908,44,56
1983377,2015-11-08,12,7788,8674,54,46
1983378,2015-11-08,12,10235,8593,46,54
1983379,2015-11-08,12,8277,10229,68,32
1983380,2015-11-21,13,10229,10228,61,39
1983381,2015-11-21,13,9803,6413,54,46
1983382,2015-11-21,13,8593,7788,60,40
1983383,2015-11-21,13,8525,8640,50,50
1983384,2015-11-21,13,8526,8674,38,62
1983385,2015-11-22,13,9791,10218,48,52
1983386,2015-11-22,13,10235,8611,61,39
1983387,2015-11-22,13,8464,9908,54,46
1983388,2015-11-22,13,10217,8277,34,66
1983389,2015-11-27,14,7788,8526,73,27
1983390,2015-11-28,14,10228,9803,72,28
1983391,2015-11-28,14,10218,10235,26,74
1983392,2015-11-28,14,8611,8525,45,55
1983393,2015-11-29,14,8277,8464,73,27
1983394,2015-11-29,14,6413,8593,38,62
1983395,2015-11-29,14,8674,10217,59,41
1983396,2015-11-29,14,9908,9791,43,57
1983397,2015-11-29,14,8640,10229,56,44
1983398,2015-12-04,15,10229,10217,59,41
1983399,2015-12-05,15,10218,8611,55,45
1983400,2015-12-05,15,8526,9908,40,60
1983401,2015-12-05,15,8277,8640,47,53
1983402,2015-12-05,15,8593,10228,53,47
1983403,2015-12-06,15,8525,7788,47,53
1983404,2015-12-06,15,10235,9791,49,51
1983405,2015-12-06,15,8464,6413,66,34
1983406,2015-12-06,15,9803,8674,49,51
1983407,2015-12-11,16,10228,10218,65,35
1983408,2015-12-12,16,8611,8526,56,44
1983409,2015-12-12,16,7788,8464,67,33
1983410,2015-12-12,16,8640,9803,68,32
1983411,2015-12-12,16,10217,8525,34,66
1983412,2015-12-13,16,9908,8593,31,69
1983413,2015-12-13,16,6413,10229,55,45
1983414,2015-12-13,16,8674,10235,40,60
