Campionato,Squadra,Giocatore,GS,GSR,GAU,GSCP,CPB,ASS,FC,FS,CAG,CAR,TP,TF,CRO,COR
Liga_BBVA,FC Barcelona,Luis Suarez,40,3,0,0,1,35,32,47,6,0,48,61,33,0
Ligue_1,Paris Saint-Germain,Zlatan Ibrahimovic,39,5,0,1,15,27,20,26,1,0,68,47,23,1
Liga_BBVA,Real Madrid,Cristiano Ronaldo,36,6,0,1,17,27,18,28,3,0,95,101,50,2
Serie_A,Napoli,Gonzalo Higuain,36,3,0,0,0,25,25,33,3,1,78,69,17,0
Bundesliga_1,FC Bayern Munich,Robert Lewandowski,31,2,0,0,0,21,24,38,2,0,68,47,11,0
Eredivisie,AZ,Vincent Janssen,28,5,0,0,1,16,33,49,3,0,68,58,19,3
Eredivisie,PSV,Luuk de Jong,27,3,0,0,0,18,23,31,2,0,59,49,10,1
Liga_BBVA,FC Barcelona,Lionel Messi,26,3,0,4,28,16,12,57,3,0,77,52,82,32
Premier_League,Tottenham Hotspur,Harry Kane,26,5,1,0,1,18,30,47,5,0,74,52,39,6
Bundesliga_1,Borussia Dortmund,Pierre-Emerick Aubameyang,25,3,0,0,2,21,24,16,4,0,43,46,43,2
Liga_BBVA,Real Madrid,Karim Benzema,24,0,0,0,0,20,8,16,1,0,37,36,24,0
Premier_League,Manchester City,Sergio Aguero,24,4,0,0,1,16,15,29,1,0,52,47,12,0
Premier_League,Leicester City,Jamie Vardy,24,5,0,0,0,18,31,29,7,1,45,41,37,3
Liga_BBVA,FC Barcelona,Neymar,24,5,0,1,10,15,31,108,6,0,51,49,61,126
Liga_BBVA,Atlético Madrid,Antoine Griezmann,22,1,0,2,3,16,23,27,5,0,34,36,32,10
Eredivisie,Ajax,Arkadiusz Milik,21,2,0,1,4,17,25,25,1,0,37,37,22,1
Liga_BBVA,Athletic Bilbao,Aritz Aduriz,21,3,0,0,0,14,36,50,9,0,47,33,13,0
Ligue_1,Olympique Lyonnais,Alexandre Lacazette,21,2,0,0,1,12,41,53,5,0,33,41,22,2
Bundesliga_1,FC Bayern Munich,Thomas Mueller,20,5,0,0,0,12,26,22,4,0,44,29,54,10
Liga_BBVA,Real Betis Balompié,Ruben Castro,20,3,0,1,1,12,15,45,3,0,42,40,42,0
Liga_BBVA,Real Madrid,Gareth Bale,19,0,0,0,4,17,10,20,2,0,25,32,91,6
Serie_A,Juventus,Paulo Dybala,19,6,0,2,7,10,18,61,1,0,47,38,94,129
Ligue_1,Paris Saint-Germain,Edinson Cavani,19,0,0,1,2,15,27,17,3,0,30,33,10,0
